,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,distance
24,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,17.297865752893937
25,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,19.91468696565216
26,33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,10.724517747852177
27,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,6.127835452793534
28,20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,1.5203573107647184
29,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,3.073453760708029
30,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,3.1051314783244868
31,22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,10.867426834284053
32,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,10.86546460358291
33,,,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,12.23672361637089
34,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,13.682516298648101
35,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,16.826241648639858
36,37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,3.0272369317334626
37,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,9.175193844119168
38,27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,9.31506917709835
39,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,6.209021101484128
40,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,1.5203447251019993
41,31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,6.037225392395853
42,31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,17.078665498330796
43,25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,4.717601091654031
44,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,12.464329297404836
45,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,9.121425981664203
46,24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,14.023232083141643
47,39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,13.392612276718708
48,39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,12.58026782216666
49,32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,,1.4899271618026915
50,36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,9.435201537103644
51,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,11.916582838065272
52,33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,4.663566688756208
53,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,10.641157729145194
54,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,16.818368923714367
55,36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,6.12855125786952
56,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,2.996250037417318
57,39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,7.342175722911471
58,23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,3.1450674354101187
59,35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,6.29013467758336
60,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,13.972123977235706
61,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,6.081440796957423
62,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,6.080891507792573
63,24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,12.58026782216666
64,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,3.1450674354101187
65,,,,,1,Drinks,scooter,0.0,No,Metropolitian,6.210589610263767
66,26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,9.220373066701908
67,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,7.862668167467362
68,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,13.969606427741528
69,39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,13.973206773195638
70,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,6.058853851619802
71,27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,17.077992872142435
72,30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17.297865752893937
73,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,17.072871906379
74,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,16.818368923714367
75,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,2.9795028513237054
76,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,9.220865974717585
77,39.0,4.8,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,7.661331134276324
78,25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,6.17551609335669
79,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,12.209856560678714
80,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,1.5526813114038203
81,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,16.90280673247877
82,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,1.5093577670164835
83,34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,6048.631240095336
84,38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,3.025118639776791
85,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,13.40709269305718
86,25.0,5.0,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,16.721976048723068
87,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,7.772343594520689
88,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,13.773737657135722
89,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,7.7901589271416665
90,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,6.217834398528468
91,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,16.852834881439975
92,25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,4.61003560186968
93,23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,19.879870677376758
94,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,1.5580833958912035
95,24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,3.0253327069320104
96,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,13.971948960232016
97,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,16.83090555191252
98,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,20.207797933361025
99,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,3.0406416222998804
100,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,20.253785359472815
101,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,16.72129600978426
102,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,2.9845507905351676
103,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,12.161450531210752
104,39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,16.82215560929809
105,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,7.762556904414814
106,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,9.055855161651426
107,20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,1.554581660395558
108,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,12.07404749780293
109,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,13.580373876336532
110,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,4.469620875318019
111,,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,16.659838319151632
112,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,16.634870118192893
113,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,6.232139486618366
114,32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,6.209021101484128
115,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,7.460830127790333
116,23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,20.253785359472815
117,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,16.60097570057656
118,23.0,,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,4.540321372506127
119,27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,12.421212735735056
120,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,6.118711846640849
121,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,1.5204319453616324
122,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,9.08797274434547
123,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,3.064487106530194
124,27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,3.0251443298722513
125,21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,13.973206773195638
126,28.0,4.8,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,7.7631027847825544
127,24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,6.29013467758336
128,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,1.536850377186336
129,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,13.973177561634602
130,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,9.348403522337493
131,,,Stormy,Low,2,Snack,scooter,0.0,No,,4.596576883661558
132,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,10.602467987427858
133,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,17.076258901163584
134,39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,9.220834606789488
135,29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,12.1616054457833
136,29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,6.080882967543937
137,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,4.674143698579478
138,33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,6.29013467758336
139,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,10.709003371340927
140,37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,6.29013467758336
141,26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,9.314884732538992
142,24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,17.137482577819046
143,23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,3.1450674354101187
144,36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,1.5725337265584898
145,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,6.218002348642889
146,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,12.463883023934917
147,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,20.20658151050987
148,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,9.081116432145537
149,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,17.138077427608316
150,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,13.631343698200281
151,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,12.074063090227655
152,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,10.723264171972627
153,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,7.600994631313737
154,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,7.562982485254907
155,30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,11.007734763545226
156,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,13.82931444525574
157,33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,13.96911696778712
158,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,10.92326745804785
159,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,12.117036432040061
160,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,1.552570412959481
161,37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,4.663566688756208
162,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,1.5294972184813194
163,24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,9.435201537103644
164,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,11.916757258852886
165,39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,10.486117701358587
166,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,13.583078662372667
167,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,7.68319140518767
168,28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,9.193093962383628
169,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,6.21788364750751
170,,,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,10.427235657707744
171,31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,9.326872528792316
172,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,9.179538450507236
173,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,10.880651848338768
174,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,10.565262855059668
175,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,12.100062420926562
176,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,4.657159717712414
177,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,2.9812178559391738
178,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,4.561265632453321
179,38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,13.98991687733361
180,36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,10.642288953545155
181,26.0,4.0,Cloudy,High,1,Buffet,motorcycle,,No,Metropolitian,6.147404652585687
182,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,13.428477357526525
183,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,9.327285157636926
184,21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,1.4897929741981528
185,35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,12.41839474187955
186,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,6.217860689094804
187,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,13.787803344558727
188,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,9.080187058447878
189,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,9.315441635177335
190,29.0,5.0,Sandstorms,Low,1,Snack,scooter,,No,Urban,12.161417162194622
191,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,16.63687503884221
192,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,9.19295116676508
193,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,3.018226485755646
194,21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,4.395420246455785
195,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,3.109059105172104
196,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,11.916582838065272
197,20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,,3.1162485105714386
198,30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,,No,Metropolitian,12.116950608663233
199,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,10.86826311779086
200,24.0,4.7,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,6.21815308601551
201,32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,1.5544249731931532
202,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,9.31301715871654
203,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,6.147106622655738
204,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,10.867300461849286
205,23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,6.209259881992308
206,39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,20.180859168354566
207,20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,9.435201537103644
208,20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,11.919755989130772
209,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,4.494291161621797
210,26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,20.851726357428884
211,25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,1.5605734766727828
212,34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,6.210589610263767
213,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,6.1752835752571436
214,24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20.442929762531403
215,30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,13.830084721902905
216,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,19.373745834957603
217,36.0,4.4,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,20.857115324024612
218,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20.851557402555603
219,30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,,16.65996319003844
220,20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,4.717601091654031
221,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,7.762600239846887
222,,,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,11.007734763545226
223,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,13.766855008643477
224,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,12.293677673344574
225,33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,2.984637270033896
226,22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16.788275862495357
227,38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,1.532022771405787
228,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,12.421407858556853
229,32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,10.444776154976848
230,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,12.420750050082729
231,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,19.659373527445805
232,31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,12.464189804361935
233,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,6.146243658343158
234,21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,8.92908688862677
235,21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,7.790362124590408
236,30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12.58026782216666
237,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,5.992096714647148
238,20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,1.5297232826572114
239,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,13.735942176452934
240,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,10.705559922203047
241,,,,,3,Buffet,motorcycle,1.0,Yes,Urban,16.852565465411075
242,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,3.104803754063122
243,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,4.610073053407919
244,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,9.122100805284978
245,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,10.906036622047266
246,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,9.088013799016629
247,24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,6.232303380257063
248,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,13.611566722180864
249,35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,13.611428630463365
250,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,13.76389621081436
251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,7.7613504049535935
252,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,4.657591594556034
253,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,19.34348721744546
254,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,2.9845125606164586
255,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,6.058876303690732
256,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,9.088084091848637
257,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,10.417065790169566
258,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,17.16483390266477
259,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,16.113872411808345
260,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,20.25368633952046
261,22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,17.076258901163584
262,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,7.790362124590408
263,23.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,19.76218981786228
264,22.0,4.8,Stormy,Low,2,Drinks,motorcycle,1.0,No,,3.025059810035751
265,29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19.839561441937033
266,34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,17.075594401053486
267,38.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,Yes,Metropolitian,1.552700113213496
268,35.0,5.0,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,11.007734763545226
269,38.0,4.7,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,9.435201537103644
270,32.0,4.3,Cloudy,Medium,1,Meal,scooter,2.0,No,Metropolitian,10.280572823299664
271,20.0,4.5,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,10.867300461849286
272,25.0,4.9,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,12.417687563968219
